Species,Treatment,Energy,Energy (400-500),Energy (500-600),Energy (600-700),Energy (700-800),PFD,PFD (400-500),PFD (500-600),PFD (600-700),PFD (700-800),CO2 ave,CO2 std,T ave,T std,RH ave,RH std,Photoperiod (h),Day,Fresh Mass (g),Dry Mass (g)
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,420,37,23.1,0.8,43,9,21,9,1.0565,0.066255085
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,420,37,23.1,0.8,43,9,21,9,0.572,0.044540984
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,420,37,23.1,0.8,43,9,21,9,0.935,0.0748
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,420,37,23.1,0.8,43,9,21,9,0.9525,0.066842105
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,420,37,23.1,0.8,43,9,21,9,0.733,0.052642727
Cherokee,Greenhouse,49.98991892,0.276248016,0.187403185,0.424402518,0.111946281,225,0.20739273,0.124703635,0.582831578,0.085072057,420,37,23.1,0.8,43,9,21,9,1.376,0.102636066
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,430,41,22.8,1,39,12,15,9,0.7645,0.064688462
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,430,41,22.8,1,39,12,15,9,1.272,0.085945946
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,430,41,22.8,1,39,12,15,9,0.8625,0.06109375
Cherokee,Greenhouse,40.83464373,0.274744048,0.172085076,0.45406095,0.099109927,315,0.207821697,0.12903836,0.573131527,0.090008416,430,41,22.8,1,39,12,15,9,1.0425,0.082755155
